[2026-06-25 23:46:27] Data: {'temperature': 27.3, 'humidity': 51.75, 'lux': 1.67, 'rainDO': 1, 'rainAO': 1230, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:29] Data: {'temperature': 27.3, 'humidity': 51.76, 'lux': 1.67, 'rainDO': 1, 'rainAO': 1583, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:31] Data: {'temperature': 27.3, 'humidity': 51.75, 'lux': 1.67, 'rainDO': 1, 'rainAO': 1901, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:33] Data: {'temperature': 27.3, 'humidity': 51.74, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2230, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:35] Data: {'temperature': 27.3, 'humidity': 51.74, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2509, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:38] Data: {'temperature': 27.3, 'humidity': 51.75, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2747, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:40] Data: {'temperature': 27.3, 'humidity': 51.74, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2949, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:42] Data: {'temperature': 27.3, 'humidity': 51.73, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3249, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:44] Data: {'temperature': 27.3, 'humidity': 51.72, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3209, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:46] Data: {'temperature': 27.3, 'humidity': 51.72, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3031, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:49] Data: {'temperature': 27.3, 'humidity': 51.72, 'lux': 1.67, 'rainDO': 0, 'rainAO': 2577, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:51] Data: {'temperature': 27.3, 'humidity': 51.71, 'lux': 1.67, 'rainDO': 0, 'rainAO': 2190, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:53] Data: {'temperature': 27.3, 'humidity': 51.71, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1861, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:55] Data: {'temperature': 27.3, 'humidity': 51.71, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1582, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:57] Data: {'temperature': 27.3, 'humidity': 51.71, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1345, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:46:59] Data: {'temperature': 27.3, 'humidity': 51.71, 'lux': 1.67, 'rainDO': 0, 'rainAO': 1243, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:01] Data: {'temperature': 27.3, 'humidity': 51.69, 'lux': 1.67, 'rainDO': 1, 'rainAO': 1627, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:03] Data: {'temperature': 27.3, 'humidity': 51.69, 'lux': 1.67, 'rainDO': 1, 'rainAO': 1997, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:06] Data: {'temperature': 27.3, 'humidity': 51.69, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2312, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:08] Data: {'temperature': 27.3, 'humidity': 51.69, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2579, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:10] Data: {'temperature': 27.3, 'humidity': 51.7, 'lux': 1.67, 'rainDO': 1, 'rainAO': 2807, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:12] Data: {'temperature': 27.3, 'humidity': 51.7, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3000, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:14] Data: {'temperature': 27.3, 'humidity': 51.7, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3164, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:16] Data: {'temperature': 27.3, 'humidity': 51.7, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3304, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:18] Data: {'temperature': 27.3, 'humidity': 51.7, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3411, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:20] Data: {'temperature': 27.3, 'humidity': 51.7, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3358, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:22] Data: {'temperature': 27.3, 'humidity': 51.7, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3294, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:24] Data: {'temperature': 27.3, 'humidity': 51.68, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3253, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:26] Data: {'temperature': 27.3, 'humidity': 51.67, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3267, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:29] Data: {'temperature': 27.3, 'humidity': 51.66, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3270, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:31] Data: {'temperature': 27.3, 'humidity': 51.67, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3316, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:33] Data: {'temperature': 27.3, 'humidity': 51.67, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3433, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:35] Data: {'temperature': 27.3, 'humidity': 51.66, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3532, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:38] Data: {'temperature': 27.3, 'humidity': 51.65, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3616, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:40] Data: {'temperature': 27.3, 'humidity': 51.67, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3688, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:42] Data: {'temperature': 27.3, 'humidity': 51.66, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3749, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:44] Data: {'temperature': 27.3, 'humidity': 51.65, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3801, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
[2026-06-25 23:47:47] Data: {'temperature': 27.3, 'humidity': 51.68, 'lux': 1.67, 'rainDO': 1, 'rainAO': 3882, 'soilDO': 1, 'soilAO': 4095, 'uvVoltage': 0.06}
